shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.3355734726209595,SII,1000,0.05,approximation,unif-size,not-paired,not full
2,1,0.18178541780118257,SII,2000,0.1,approximation,unif-size,not-paired,not full
2,1,0.12819131791485439,SII,3000,0.15,approximation,unif-size,not-paired,not full
2,1,0.10511042769715408,SII,4000,0.2,approximation,unif-size,not-paired,not full
2,1,0.07517778998810781,SII,5000,0.25,approximation,unif-size,not-paired,not full
2,1,0.06899422359449006,SII,6000,0.3,approximation,unif-size,not-paired,not full
2,1,0.05972590369020548,SII,7000,0.35,approximation,unif-size,not-paired,not full
2,1,0.05413258045444558,SII,8000,0.4,approximation,unif-size,not-paired,not full
2,1,0.04717273246534642,SII,9000,0.45,approximation,unif-size,not-paired,not full
2,1,0.040764007082683885,SII,10000,0.5,approximation,unif-size,not-paired,not full
2,1,0.030753560253261356,SII,11000,0.55,approximation,unif-size,not-paired,not full
2,1,0.02500806524768141,SII,12000,0.6,approximation,unif-size,not-paired,not full
2,1,0.023197661537102926,SII,13000,0.65,approximation,unif-size,not-paired,not full
2,1,0.01936434751248874,SII,14000,0.7,approximation,unif-size,not-paired,not full
2,1,0.01931734095901322,SII,15000,0.75,approximation,unif-size,not-paired,not full
2,1,0.018076508740352083,SII,16000,0.8,approximation,unif-size,not-paired,not full
2,1,0.01840568748938493,SII,17000,0.85,approximation,unif-size,not-paired,not full
2,1,0.01599502161072717,SII,18000,0.9,approximation,unif-size,not-paired,not full
2,1,0.016805821798257053,SII,19000,0.95,approximation,unif-size,not-paired,not full
2,1,0.016021509555791097,SII,20000,1.0,approximation,unif-size,not-paired,not full
2,1,0.6649840369104527,SII,,,,,,
2,1,0.5983006515239653,STI,1000,0.05,approximation,unif-size,not-paired,not full
2,1,0.33891072695001345,STI,2000,0.1,approximation,unif-size,not-paired,not full
2,1,0.24357813897197242,STI,3000,0.15,approximation,unif-size,not-paired,not full
2,1,0.20618726537980736,STI,4000,0.2,approximation,unif-size,not-paired,not full
2,1,0.16651312013750563,STI,5000,0.25,approximation,unif-size,not-paired,not full
2,1,0.12102828156072024,STI,6000,0.3,approximation,unif-size,not-paired,not full
2,1,0.10159505641271074,STI,7000,0.35,approximation,unif-size,not-paired,not full
2,1,0.07419427913614235,STI,8000,0.4,approximation,unif-size,not-paired,not full
2,1,0.07419115035910996,STI,9000,0.45,approximation,unif-size,not-paired,not full
2,1,0.07068675161272821,STI,10000,0.5,approximation,unif-size,not-paired,not full
2,1,0.06962862742634775,STI,11000,0.55,approximation,unif-size,not-paired,not full
2,1,0.06081413286478015,STI,12000,0.6,approximation,unif-size,not-paired,not full
2,1,0.05851885956566434,STI,13000,0.65,approximation,unif-size,not-paired,not full
2,1,0.051774787186025906,STI,14000,0.7,approximation,unif-size,not-paired,not full
2,1,0.04710118994895315,STI,15000,0.75,approximation,unif-size,not-paired,not full
2,1,0.042259246719103236,STI,16000,0.8,approximation,unif-size,not-paired,not full
2,1,0.037509783222864676,STI,17000,0.85,approximation,unif-size,not-paired,not full
2,1,0.03942268674264225,STI,18000,0.9,approximation,unif-size,not-paired,not full
2,1,0.036666346313048145,STI,19000,0.95,approximation,unif-size,not-paired,not full
2,1,0.03604475191408213,STI,20000,1.0,approximation,unif-size,not-paired,not full
2,1,0.82536457304268,STI,,,,,,
2,1,0.27348945643236,SFI,1000,0.05,approximation,unif-size,not-paired,not full
2,1,0.14461208656185476,SFI,2000,0.1,approximation,unif-size,not-paired,not full
2,1,0.12287738076736338,SFI,3000,0.15,approximation,unif-size,not-paired,not full
2,1,0.07819189762206266,SFI,4000,0.2,approximation,unif-size,not-paired,not full
2,1,0.06153137904682241,SFI,5000,0.25,approximation,unif-size,not-paired,not full
2,1,0.046271387960593824,SFI,6000,0.3,approximation,unif-size,not-paired,not full
2,1,0.03702076627360934,SFI,7000,0.35,approximation,unif-size,not-paired,not full
2,1,0.03345303822499173,SFI,8000,0.4,approximation,unif-size,not-paired,not full
2,1,0.0360377614565447,SFI,9000,0.45,approximation,unif-size,not-paired,not full
2,1,0.032092066916774326,SFI,10000,0.5,approximation,unif-size,not-paired,not full
2,1,0.03019114507966237,SFI,11000,0.55,approximation,unif-size,not-paired,not full
2,1,0.027508489588500593,SFI,12000,0.6,approximation,unif-size,not-paired,not full
2,1,0.02207126610926364,SFI,13000,0.65,approximation,unif-size,not-paired,not full
2,1,0.021482443639112756,SFI,14000,0.7,approximation,unif-size,not-paired,not full
2,1,0.01951543397507214,SFI,15000,0.75,approximation,unif-size,not-paired,not full
2,1,0.01923319673445945,SFI,16000,0.8,approximation,unif-size,not-paired,not full
2,1,0.019581138134453814,SFI,17000,0.85,approximation,unif-size,not-paired,not full
2,1,0.01632826031807684,SFI,18000,0.9,approximation,unif-size,not-paired,not full
2,1,0.015388958687981267,SFI,19000,0.95,approximation,unif-size,not-paired,not full
2,1,0.01442035294817532,SFI,20000,1.0,approximation,unif-size,not-paired,not full
2,1,0.28116878806835477,SFI,,,,,,
