shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.1602799398065978,SII,16,0.25,permutation,,,
2,1,2.3518673052713055,SII,16,0.25,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,16,0.25,approximation,unif-size,not-paired,full
2,1,1.1324141298684036,SII,16,0.25,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,16,0.25,approximation,unif-set,not-paired,full
2,1,1.3637374858775761,SII,16,0.25,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,16,0.25,approximation,ksh,not-paired,full
2,1,1.3472008693373074,SII,16,0.25,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,16,0.25,approximation,faith,not-paired,full
2,1,0.1602799398065978,SII,19,0.3,permutation,,,
2,1,0.23447022095192072,SII,19,0.3,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,19,0.3,approximation,unif-size,not-paired,full
2,1,0.08721148790915964,SII,19,0.3,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,19,0.3,approximation,unif-set,not-paired,full
2,1,0.33154612670629874,SII,19,0.3,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,19,0.3,approximation,ksh,not-paired,full
2,1,0.3267093798726541,SII,19,0.3,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,19,0.3,approximation,faith,not-paired,full
2,1,0.1500334880342239,SII,22,0.34,permutation,,,
2,1,0.17135940241428183,SII,22,0.34,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,22,0.34,approximation,unif-size,not-paired,full
2,1,0.11139453776555364,SII,22,0.34,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,22,0.34,approximation,unif-set,not-paired,full
2,1,0.13856358837866828,SII,22,0.34,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,22,0.34,approximation,ksh,not-paired,full
2,1,0.15928910989764614,SII,22,0.34,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,22,0.34,approximation,faith,not-paired,full
2,1,0.16577280022840737,SII,25,0.39,permutation,,,
2,1,0.04578958690612549,SII,25,0.39,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,25,0.39,approximation,unif-size,not-paired,full
2,1,0.05692531361212284,SII,25,0.39,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,25,0.39,approximation,unif-set,not-paired,full
2,1,0.02509466453422727,SII,25,0.39,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,25,0.39,approximation,ksh,not-paired,full
2,1,0.08888380964978217,SII,25,0.39,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,25,0.39,approximation,faith,not-paired,full
2,1,0.1525132364058172,SII,28,0.44,permutation,,,
2,1,0.07748403793430063,SII,28,0.44,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,28,0.44,approximation,unif-size,not-paired,full
2,1,0.09885397548308415,SII,28,0.44,approximation,unif-set,not-paired,not full
