shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.1602799398065978,SII,16,0.25,permutation,,,
2,1,2.329990754878738,SII,16,0.25,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,16,0.25,approximation,unif-size,not-paired,full
2,1,2.2871341331731396,SII,16,0.25,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,16,0.25,approximation,unif-set,not-paired,full
2,1,2.9358077008993373,SII,16,0.25,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,16,0.25,approximation,ksh,not-paired,full
2,1,3.7848462387273325,SII,16,0.25,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,16,0.25,approximation,faith,not-paired,full
2,1,0.1602799398065978,SII,19,0.3,permutation,,,
2,1,1.2851110025453765,SII,19,0.3,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,19,0.3,approximation,unif-size,not-paired,full
2,1,1.0543985594624874,SII,19,0.3,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,19,0.3,approximation,unif-set,not-paired,full
2,1,1.0790507507143656,SII,19,0.3,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,19,0.3,approximation,ksh,not-paired,full
2,1,1.0194371567288891,SII,19,0.3,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,19,0.3,approximation,faith,not-paired,full
2,1,0.16123682015804428,SII,22,0.34,permutation,,,
2,1,0.9311072010934244,SII,22,0.34,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,22,0.34,approximation,unif-size,not-paired,full
2,1,0.3352736354883283,SII,22,0.34,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,22,0.34,approximation,unif-set,not-paired,full
2,1,0.6525767183090972,SII,22,0.34,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,22,0.34,approximation,ksh,not-paired,full
2,1,0.6377685721771156,SII,22,0.34,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,22,0.34,approximation,faith,not-paired,full
2,1,0.13972560860591116,SII,25,0.39,permutation,,,
2,1,0.6702119664037074,SII,25,0.39,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,25,0.39,approximation,unif-size,not-paired,full
2,1,0.3423665838516255,SII,25,0.39,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,25,0.39,approximation,unif-set,not-paired,full
2,1,0.41096113287190883,SII,25,0.39,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,25,0.39,approximation,ksh,not-paired,full
2,1,0.37672659821784626,SII,25,0.39,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,25,0.39,approximation,faith,not-paired,full
2,1,0.1593359678407386,SII,28,0.44,permutation,,,
2,1,0.40024112559730013,SII,28,0.44,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,28,0.44,approximation,unif-size,not-paired,full
2,1,0.2661577499345254,SII,28,0.44,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,28,0.44,approximation,unif-set,not-paired,full
2,1,0.2708172326688859,SII,28,0.44,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,28,0.44,approximation,ksh,not-paired,full
2,1,0.9892905790231917,SII,28,0.44,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,28,0.44,approximation,faith,not-paired,full
2,1,0.2177683956304025,SII,32,0.5,permutation,,,
2,1,0.4522265607763769,SII,32,0.5,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,32,0.5,approximation,unif-size,not-paired,full
2,1,0.4422302753252172,SII,32,0.5,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,32,0.5,approximation,unif-set,not-paired,full
2,1,0.16210115321396987,SII,32,0.5,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,32,0.5,approximation,ksh,not-paired,full
2,1,0.16660298379265298,SII,32,0.5,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,32,0.5,approximation,faith,not-paired,full
2,1,0.12780825281681818,SII,35,0.55,permutation,,,
2,1,0.18961465077596,SII,35,0.55,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,35,0.55,approximation,unif-size,not-paired,full
2,1,0.10239265427111824,SII,35,0.55,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,35,0.55,approximation,unif-set,not-paired,full
2,1,0.3524803546161479,SII,35,0.55,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,35,0.55,approximation,ksh,not-paired,full
2,1,0.35778622638714047,SII,35,0.55,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,35,0.55,approximation,faith,not-paired,full
2,1,0.18475033796697124,SII,38,0.59,permutation,,,
2,1,0.3238343889975027,SII,38,0.59,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,38,0.59,approximation,unif-size,not-paired,full
2,1,0.3663552408846422,SII,38,0.59,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,38,0.59,approximation,unif-set,not-paired,full
2,1,0.20597282795502234,SII,38,0.59,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,38,0.59,approximation,ksh,not-paired,full
2,1,0.1691984826235979,SII,38,0.59,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,38,0.59,approximation,faith,not-paired,full
2,1,0.11952809736389083,SII,41,0.64,permutation,,,
2,1,0.1122033679799317,SII,41,0.64,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,41,0.64,approximation,unif-size,not-paired,full
