shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.1602799398065978,SII,16,0.25,permutation,,,
2,1,2.893192786930149,SII,16,0.25,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,16,0.25,approximation,unif-size,not-paired,full
2,1,1.8196898259105312,SII,16,0.25,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,16,0.25,approximation,unif-set,not-paired,full
2,1,2.800109690058805,SII,16,0.25,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,16,0.25,approximation,ksh,not-paired,full
2,1,1.6383439922174494,SII,16,0.25,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,16,0.25,approximation,faith,not-paired,full
2,1,0.1602799398065978,SII,19,0.3,permutation,,,
2,1,1.3054896575523676,SII,19,0.3,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,19,0.3,approximation,unif-size,not-paired,full
2,1,1.0977804285491026,SII,19,0.3,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,19,0.3,approximation,unif-set,not-paired,full
2,1,1.2168975029160218,SII,19,0.3,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,19,0.3,approximation,ksh,not-paired,full
2,1,1.2077970267592415,SII,19,0.3,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,19,0.3,approximation,faith,not-paired,full
2,1,0.23699851881634454,SII,22,0.34,permutation,,,
2,1,0.8350750769123853,SII,22,0.34,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,22,0.34,approximation,unif-size,not-paired,full
2,1,0.5575162014314107,SII,22,0.34,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,22,0.34,approximation,unif-set,not-paired,full
2,1,0.2707595253032347,SII,22,0.34,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,22,0.34,approximation,ksh,not-paired,full
2,1,0.5303618569438637,SII,22,0.34,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,22,0.34,approximation,faith,not-paired,full
2,1,0.15331223002365485,SII,25,0.39,permutation,,,
2,1,0.5381858455208456,SII,25,0.39,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,25,0.39,approximation,unif-size,not-paired,full
2,1,0.4193193692424698,SII,25,0.39,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,25,0.39,approximation,unif-set,not-paired,full
2,1,0.5599957043178703,SII,25,0.39,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,25,0.39,approximation,ksh,not-paired,full
2,1,0.8785172059976463,SII,25,0.39,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,25,0.39,approximation,faith,not-paired,full
2,1,0.2219204025317958,SII,28,0.44,permutation,,,
2,1,0.5401958758499582,SII,28,0.44,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,28,0.44,approximation,unif-size,not-paired,full
2,1,0.436965544925002,SII,28,0.44,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,28,0.44,approximation,unif-set,not-paired,full
2,1,0.6439028431773791,SII,28,0.44,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,28,0.44,approximation,ksh,not-paired,full
2,1,0.6093253378108716,SII,28,0.44,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,28,0.44,approximation,faith,not-paired,full
2,1,0.13536783898378524,SII,32,0.5,permutation,,,
2,1,0.10826866239847482,SII,32,0.5,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,32,0.5,approximation,unif-size,not-paired,full
2,1,0.15044082462920763,SII,32,0.5,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,32,0.5,approximation,unif-set,not-paired,full
2,1,0.25093321569509985,SII,32,0.5,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,32,0.5,approximation,ksh,not-paired,full
2,1,0.3556510034046681,SII,32,0.5,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,32,0.5,approximation,faith,not-paired,full
2,1,0.16678784597611415,SII,35,0.55,permutation,,,
2,1,0.15335413866139652,SII,35,0.55,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,35,0.55,approximation,unif-size,not-paired,full
2,1,0.10101370198640273,SII,35,0.55,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,35,0.55,approximation,unif-set,not-paired,full
2,1,0.17168152889486568,SII,35,0.55,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,35,0.55,approximation,ksh,not-paired,full
2,1,0.2778428386982404,SII,35,0.55,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,35,0.55,approximation,faith,not-paired,full
2,1,0.17012469204768887,SII,38,0.59,permutation,,,
2,1,0.26673538168539945,SII,38,0.59,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,38,0.59,approximation,unif-size,not-paired,full
2,1,0.39330624030195044,SII,38,0.59,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,38,0.59,approximation,unif-set,not-paired,full
2,1,0.2143457344598772,SII,38,0.59,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,38,0.59,approximation,ksh,not-paired,full
2,1,0.07268427236724986,SII,38,0.59,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,38,0.59,approximation,faith,not-paired,full
2,1,0.4093036053668187,SII,41,0.64,permutation,,,
2,1,0.4736577267438854,SII,41,0.64,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,41,0.64,approximation,unif-size,not-paired,full
2,1,0.25853539122232694,SII,41,0.64,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,41,0.64,approximation,unif-set,not-paired,full
2,1,0.19724399738883805,SII,41,0.64,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,41,0.64,approximation,ksh,not-paired,full
2,1,0.2582055073779628,SII,41,0.64,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,41,0.64,approximation,faith,not-paired,full
2,1,0.12258851691695995,SII,44,0.69,permutation,,,
2,1,0.20240369082733867,SII,44,0.69,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,44,0.69,approximation,unif-size,not-paired,full
2,1,0.1536844795401344,SII,44,0.69,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,44,0.69,approximation,unif-set,not-paired,full
2,1,0.15839534123513294,SII,44,0.69,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,44,0.69,approximation,ksh,not-paired,full
2,1,0.14884215264276715,SII,44,0.69,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,44,0.69,approximation,faith,not-paired,full
2,1,0.1488769153761688,SII,48,0.75,permutation,,,
2,1,0.18841454010240896,SII,48,0.75,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,48,0.75,approximation,unif-size,not-paired,full
