shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.051533827998033375,SII,2000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,2000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,2000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083768300677577,SII,2000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,2000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005083768300677577,SII,2000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,2000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,2000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,2000,0.0,approximation,faith,not-paired,full
2,1,0.06340265199254179,SII,3000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,3000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,3000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005175699686881254,SII,3000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,3000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005083768300677577,SII,3000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,3000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,3000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,3000,0.0,approximation,faith,not-paired,full
2,1,0.07697896095363137,SII,4000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,4000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,4000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083768300677577,SII,4000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,4000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005083768300677577,SII,4000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,4000,0.0,approximation,ksh,not-paired,full
2,1,0.0005153919665122278,SII,4000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,4000,0.0,approximation,faith,not-paired,full
2,1,0.08174895485042402,SII,5000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,5000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,5000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005105519098555784,SII,5000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,5000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005083768300677577,SII,5000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,5000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,5000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,5000,0.0,approximation,faith,not-paired,full
2,1,0.09522797437094177,SII,6000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,6000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,6000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083768300677577,SII,6000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,6000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005150853762906396,SII,6000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,6000,0.0,approximation,ksh,not-paired,full
2,1,0.0005131520702544287,SII,6000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,6000,0.0,approximation,faith,not-paired,full
2,1,0.13896841276843985,SII,7000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,7000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,7000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083768300677577,SII,7000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,7000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005100696524225377,SII,7000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,7000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,7000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,7000,0.0,approximation,faith,not-paired,full
2,1,0.12148839880113768,SII,8000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,8000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,8000,0.0,approximation,unif-size,not-paired,full
2,1,0.000611218115209198,SII,8000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,8000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005083768300677577,SII,8000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,8000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,8000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,8000,0.0,approximation,faith,not-paired,full
2,1,0.1285555252057836,SII,9000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,9000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,9000,0.0,approximation,unif-size,not-paired,full
2,1,0.0008230111570120251,SII,9000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,9000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005083768300677577,SII,9000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,9000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,9000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,9000,0.0,approximation,faith,not-paired,full
2,1,0.09252404070979854,SII,10000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,10000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,10000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083768300677577,SII,10000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,10000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005093336275372649,SII,10000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,10000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,10000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,10000,0.0,approximation,faith,not-paired,full
2,1,0.13784646824607633,SII,11000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,11000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,11000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083768300677577,SII,11000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,11000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005095801845805966,SII,11000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,11000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,11000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,11000,0.0,approximation,faith,not-paired,full
2,1,0.11773594608859618,SII,12000,0.0,permutation,,,
2,1,0.0005076758442647183,SII,12000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,12000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083768300677577,SII,12000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,12000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005083768300677577,SII,12000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,12000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,12000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,12000,0.0,approximation,faith,not-paired,full
2,1,0.1532033679035904,SII,13000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,13000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,13000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083768300677577,SII,13000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,13000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005097359430429312,SII,13000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,13000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,13000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,13000,0.0,approximation,faith,not-paired,full
2,1,0.16540768372007422,SII,14000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,14000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,14000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005116225495391843,SII,14000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,14000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005083768300677577,SII,14000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,14000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,14000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,14000,0.0,approximation,faith,not-paired,full
2,1,0.14055490593388192,SII,15000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,15000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,15000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083768300677577,SII,15000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,15000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005089685212668789,SII,15000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,15000,0.0,approximation,ksh,not-paired,full
2,1,0.0005085431552789315,SII,15000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,15000,0.0,approximation,faith,not-paired,full
2,1,0.14146701160585956,SII,16000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,16000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,16000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083768300677577,SII,16000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,16000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005083768300677577,SII,16000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,16000,0.0,approximation,ksh,not-paired,full
2,1,0.0005108203830855167,SII,16000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,16000,0.0,approximation,faith,not-paired,full
2,1,0.1490785776512902,SII,17000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,17000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,17000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083768300677577,SII,17000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,17000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005083768300677577,SII,17000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,17000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,17000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,17000,0.0,approximation,faith,not-paired,full
2,1,0.10219483424130235,SII,18000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,18000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,18000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083768300677577,SII,18000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,18000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005097002569363921,SII,18000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,18000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,18000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,18000,0.0,approximation,faith,not-paired,full
2,1,0.11227235682789621,SII,19000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,19000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,19000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083768300677577,SII,19000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,19000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005083768300677577,SII,19000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,19000,0.0,approximation,ksh,not-paired,full
2,1,0.0005083768300677577,SII,19000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,19000,0.0,approximation,faith,not-paired,full
2,1,0.13705036808452228,SII,20000,0.0,permutation,,,
2,1,0.0005083768300677577,SII,20000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0005083768300677577,SII,20000,0.0,approximation,unif-size,not-paired,full
2,1,0.0005083985061598283,SII,20000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0005083768300677577,SII,20000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005083768300677577,SII,20000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005083768300677577,SII,20000,0.0,approximation,ksh,not-paired,full
2,1,0.0005078534001261279,SII,20000,0.0,approximation,faith,not-paired,not full
2,1,0.0005083768300677577,SII,20000,0.0,approximation,faith,not-paired,full
2,1,,STI,2000,0.0,permutation,,,
2,1,9.54799024724428e-05,STI,2000,0.0,approximation,unif-size,not-paired,not full
2,1,9.54799024724428e-05,STI,2000,0.0,approximation,unif-size,not-paired,full
2,1,9.54799024724428e-05,STI,2000,0.0,approximation,unif-set,not-paired,not full
2,1,9.54799024724428e-05,STI,2000,0.0,approximation,unif-set,not-paired,full
2,1,9.549365279052323e-05,STI,2000,0.0,approximation,ksh,not-paired,not full
2,1,9.54799024724428e-05,STI,2000,0.0,approximation,ksh,not-paired,full
2,1,9.62719547970646e-05,STI,2000,0.0,approximation,faith,not-paired,not full
2,1,9.54799024724428e-05,STI,2000,0.0,approximation,faith,not-paired,full
2,1,,STI,3000,0.0,permutation,,,
2,1,9.54799024724428e-05,STI,3000,0.0,approximation,unif-size,not-paired,not full
2,1,9.54799024724428e-05,STI,3000,0.0,approximation,unif-size,not-paired,full
2,1,9.54799024724428e-05,STI,3000,0.0,approximation,unif-set,not-paired,not full
2,1,9.54799024724428e-05,STI,3000,0.0,approximation,unif-set,not-paired,full
2,1,0.00023357102604297153,STI,3000,0.0,approximation,ksh,not-paired,not full
2,1,9.54799024724428e-05,STI,3000,0.0,approximation,ksh,not-paired,full
2,1,9.54799024724428e-05,STI,3000,0.0,approximation,faith,not-paired,not full
