shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.02563735743264791,SII,2000,0.0,permutation,,,
2,1,0.0007998665378306318,SII,2000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0007998665378306318,SII,2000,0.0,approximation,unif-size,not-paired,full
2,1,0.0007998665378306318,SII,2000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0007998665378306318,SII,2000,0.0,approximation,unif-set,not-paired,full
2,1,0.0008631039385550481,SII,2000,0.0,approximation,ksh,not-paired,not full
2,1,0.0007998665378306318,SII,2000,0.0,approximation,ksh,not-paired,full
2,1,0.0007998665378306318,SII,2000,0.0,approximation,faith,not-paired,not full
2,1,0.0007998665378306318,SII,2000,0.0,approximation,faith,not-paired,full
2,1,0.037494232298552574,SII,3000,0.0,permutation,,,
2,1,0.0007998665378306318,SII,3000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0007998665378306318,SII,3000,0.0,approximation,unif-size,not-paired,full
2,1,0.005943663665927061,SII,3000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0007998665378306318,SII,3000,0.0,approximation,unif-set,not-paired,full
2,1,0.0007998665378306318,SII,3000,0.0,approximation,ksh,not-paired,not full
2,1,0.0007998665378306318,SII,3000,0.0,approximation,ksh,not-paired,full
2,1,0.0007998665378306318,SII,3000,0.0,approximation,faith,not-paired,not full
2,1,0.0007998665378306318,SII,3000,0.0,approximation,faith,not-paired,full
2,1,0.05462450311147309,SII,4000,0.0,permutation,,,
2,1,0.0007998665378306318,SII,4000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0007998665378306318,SII,4000,0.0,approximation,unif-size,not-paired,full
2,1,0.0007998665378306318,SII,4000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0007998665378306318,SII,4000,0.0,approximation,unif-set,not-paired,full
2,1,0.0007998665378306318,SII,4000,0.0,approximation,ksh,not-paired,not full
2,1,0.0007998665378306318,SII,4000,0.0,approximation,ksh,not-paired,full
2,1,0.0007998665378306318,SII,4000,0.0,approximation,faith,not-paired,not full
2,1,0.0007998665378306318,SII,4000,0.0,approximation,faith,not-paired,full
2,1,0.05805665182942965,SII,5000,0.0,permutation,,,
2,1,0.0007997375396956288,SII,5000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0007998665378306318,SII,5000,0.0,approximation,unif-size,not-paired,full
2,1,0.0007998665378306318,SII,5000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0007998665378306318,SII,5000,0.0,approximation,unif-set,not-paired,full
2,1,0.0008151810217915,SII,5000,0.0,approximation,ksh,not-paired,not full
2,1,0.0007998665378306318,SII,5000,0.0,approximation,ksh,not-paired,full
2,1,0.0007998665378306318,SII,5000,0.0,approximation,faith,not-paired,not full
2,1,0.0007998665378306318,SII,5000,0.0,approximation,faith,not-paired,full
2,1,0.045878082873060756,SII,6000,0.0,permutation,,,
2,1,0.0007998665378306318,SII,6000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0007998665378306318,SII,6000,0.0,approximation,unif-size,not-paired,full
2,1,0.0007998665378306318,SII,6000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0007998665378306318,SII,6000,0.0,approximation,unif-set,not-paired,full
2,1,0.000811945015624687,SII,6000,0.0,approximation,ksh,not-paired,not full
2,1,0.0007998665378306318,SII,6000,0.0,approximation,ksh,not-paired,full
2,1,0.0008031820505626187,SII,6000,0.0,approximation,faith,not-paired,not full
2,1,0.0007998665378306318,SII,6000,0.0,approximation,faith,not-paired,full
2,1,0.05355554081003423,SII,7000,0.0,permutation,,,
2,1,0.0007998665378306318,SII,7000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0007998665378306318,SII,7000,0.0,approximation,unif-size,not-paired,full
2,1,0.0007998665378306318,SII,7000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0007998665378306318,SII,7000,0.0,approximation,unif-set,not-paired,full
2,1,0.0007998665378306318,SII,7000,0.0,approximation,ksh,not-paired,not full
2,1,0.0007998665378306318,SII,7000,0.0,approximation,ksh,not-paired,full
2,1,0.0007998665378306318,SII,7000,0.0,approximation,faith,not-paired,not full
2,1,0.0007998665378306318,SII,7000,0.0,approximation,faith,not-paired,full
2,1,0.05620232536611601,SII,8000,0.0,permutation,,,
2,1,0.0007998665378306318,SII,8000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0007998665378306318,SII,8000,0.0,approximation,unif-size,not-paired,full
2,1,0.0007999236678316746,SII,8000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0007998665378306318,SII,8000,0.0,approximation,unif-set,not-paired,full
2,1,0.0008162083703609628,SII,8000,0.0,approximation,ksh,not-paired,not full
2,1,0.0007998665378306318,SII,8000,0.0,approximation,ksh,not-paired,full
2,1,0.0007998665378306318,SII,8000,0.0,approximation,faith,not-paired,not full
2,1,0.0007998665378306318,SII,8000,0.0,approximation,faith,not-paired,full
2,1,0.06727591593573881,SII,9000,0.0,permutation,,,
2,1,0.0007998665378306318,SII,9000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0007998665378306318,SII,9000,0.0,approximation,unif-size,not-paired,full
2,1,0.0007998665378306318,SII,9000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0007998665378306318,SII,9000,0.0,approximation,unif-set,not-paired,full
2,1,0.0008037401757067465,SII,9000,0.0,approximation,ksh,not-paired,not full
2,1,0.0007998665378306318,SII,9000,0.0,approximation,ksh,not-paired,full
2,1,0.0008406236004040809,SII,9000,0.0,approximation,faith,not-paired,not full
2,1,0.0007998665378306318,SII,9000,0.0,approximation,faith,not-paired,full
2,1,0.06558334512193272,SII,10000,0.0,permutation,,,
2,1,0.0007998781669590131,SII,10000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0007998665378306318,SII,10000,0.0,approximation,unif-size,not-paired,full
2,1,0.0011419100995825361,SII,10000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0007998665378306318,SII,10000,0.0,approximation,unif-set,not-paired,full
2,1,0.0007998665378306318,SII,10000,0.0,approximation,ksh,not-paired,not full
2,1,0.0007998665378306318,SII,10000,0.0,approximation,ksh,not-paired,full
2,1,0.0007998665378306318,SII,10000,0.0,approximation,faith,not-paired,not full
2,1,0.0007998665378306318,SII,10000,0.0,approximation,faith,not-paired,full
2,1,0.06708879672372017,SII,11000,0.0,permutation,,,
2,1,0.0007998665378306318,SII,11000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0007998665378306318,SII,11000,0.0,approximation,unif-size,not-paired,full
2,1,0.0007999822833779812,SII,11000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0007998665378306318,SII,11000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005040788508884126,SII,11000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005040788508884126,SII,11000,0.0,approximation,ksh,not-paired,full
2,1,0.0007998665378306318,SII,11000,0.0,approximation,faith,not-paired,not full
2,1,0.0007998665378306318,SII,11000,0.0,approximation,faith,not-paired,full
2,1,0.0552364317060555,SII,12000,0.0,permutation,,,
2,1,0.0007998665378306318,SII,12000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0007998665378306318,SII,12000,0.0,approximation,unif-size,not-paired,full
2,1,0.00079910408300841,SII,12000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0007998665378306318,SII,12000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005062669571498344,SII,12000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005040788508884126,SII,12000,0.0,approximation,ksh,not-paired,full
2,1,0.0008019203743665,SII,12000,0.0,approximation,faith,not-paired,not full
2,1,0.0007998665378306318,SII,12000,0.0,approximation,faith,not-paired,full
2,1,0.0775804441748389,SII,13000,0.0,permutation,,,
2,1,0.0007998665378306318,SII,13000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0007998665378306318,SII,13000,0.0,approximation,unif-size,not-paired,full
2,1,0.0007998665378306318,SII,13000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0007998665378306318,SII,13000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005070317901728456,SII,13000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005040788508884126,SII,13000,0.0,approximation,ksh,not-paired,full
2,1,0.0007998665378306318,SII,13000,0.0,approximation,faith,not-paired,not full
2,1,0.0007998665378306318,SII,13000,0.0,approximation,faith,not-paired,full
2,1,0.06541996803553603,SII,14000,0.0,permutation,,,
2,1,0.0007998665378306318,SII,14000,0.0,approximation,unif-size,not-paired,not full
2,1,0.0007998665378306318,SII,14000,0.0,approximation,unif-size,not-paired,full
2,1,0.0007998665378306318,SII,14000,0.0,approximation,unif-set,not-paired,not full
2,1,0.0007998665378306318,SII,14000,0.0,approximation,unif-set,not-paired,full
2,1,0.0005040788508884126,SII,14000,0.0,approximation,ksh,not-paired,not full
2,1,0.0005040788508884126,SII,14000,0.0,approximation,ksh,not-paired,full
2,1,0.0007998665378306318,SII,14000,0.0,approximation,faith,not-paired,not full
2,1,0.0007998665378306318,SII,14000,0.0,approximation,faith,not-paired,full
