shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.004027725370444692,SII,409,0.1,permutation,,,
2,1,0.0008785874750083422,SII,409,0.1,approximation,unif-size,not-paired,not full
2,1,0.0008488765117748947,SII,409,0.1,approximation,unif-size,not-paired,full
2,1,0.0009326872246398489,SII,409,0.1,approximation,unif-set,not-paired,not full
2,1,0.0008488765117748947,SII,409,0.1,approximation,unif-set,not-paired,full
2,1,0.00034226979775612697,SII,409,0.1,approximation,ksh,not-paired,not full
2,1,0.0003199467735972271,SII,409,0.1,approximation,ksh,not-paired,full
2,1,0.000845571487240632,SII,409,0.1,approximation,faith,not-paired,not full
2,1,0.0008488765117748947,SII,409,0.1,approximation,faith,not-paired,full
2,1,0.0049019156058363565,SII,614,0.15,permutation,,,
2,1,0.0008485702113293616,SII,614,0.15,approximation,unif-size,not-paired,not full
2,1,0.0008488765117748947,SII,614,0.15,approximation,unif-size,not-paired,full
2,1,0.0008608363099830135,SII,614,0.15,approximation,unif-set,not-paired,not full
2,1,0.0008488765117748947,SII,614,0.15,approximation,unif-set,not-paired,full
2,1,0.00032884677148189366,SII,614,0.15,approximation,ksh,not-paired,not full
2,1,0.0003199467735972271,SII,614,0.15,approximation,ksh,not-paired,full
2,1,0.0003117730013370528,SII,614,0.15,approximation,faith,not-paired,not full
2,1,0.0003199467735972271,SII,614,0.15,approximation,faith,not-paired,full
2,1,0.00720630901216375,SII,819,0.2,permutation,,,
2,1,0.0008379712017588328,SII,819,0.2,approximation,unif-size,not-paired,not full
2,1,0.0008488765117748947,SII,819,0.2,approximation,unif-size,not-paired,full
2,1,0.0003294785815460704,SII,819,0.2,approximation,unif-set,not-paired,not full
2,1,0.0003199467735972271,SII,819,0.2,approximation,unif-set,not-paired,full
2,1,0.0003175232475802463,SII,819,0.2,approximation,ksh,not-paired,not full
2,1,0.0003199467735972271,SII,819,0.2,approximation,ksh,not-paired,full
2,1,0.00034051710398943765,SII,819,0.2,approximation,faith,not-paired,not full
2,1,0.0003199467735972271,SII,819,0.2,approximation,faith,not-paired,full
2,1,0.004015017672760207,SII,1024,0.25,permutation,,,
2,1,0.0008467613915727291,SII,1024,0.25,approximation,unif-size,not-paired,not full
2,1,0.0008488765117748947,SII,1024,0.25,approximation,unif-size,not-paired,full
2,1,0.00031801955148560486,SII,1024,0.25,approximation,unif-set,not-paired,not full
2,1,0.0003199467735972271,SII,1024,0.25,approximation,unif-set,not-paired,full
2,1,0.00031880025794165734,SII,1024,0.25,approximation,ksh,not-paired,not full
2,1,0.0003199467735972271,SII,1024,0.25,approximation,ksh,not-paired,full
2,1,0.0003171472614769791,SII,1024,0.25,approximation,faith,not-paired,not full
2,1,0.0003199467735972271,SII,1024,0.25,approximation,faith,not-paired,full
2,1,0.0030953774528996777,SII,1228,0.3,permutation,,,
2,1,0.0008567004114103958,SII,1228,0.3,approximation,unif-size,not-paired,not full
2,1,0.0008488765117748947,SII,1228,0.3,approximation,unif-size,not-paired,full
2,1,0.00032013088117007366,SII,1228,0.3,approximation,unif-set,not-paired,not full
