shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.01398147822288862,SII,200,0.05,permutation,,,
2,1,0.08498334849151885,SII,200,0.05,approximation,unif-size,not-paired,not full
2,1,0.004269188446023153,SII,200,0.05,approximation,unif-size,not-paired,full
2,1,0.02037560037397703,SII,200,0.05,approximation,unif-set,not-paired,not full
2,1,0.004269188446023153,SII,200,0.05,approximation,unif-set,not-paired,full
2,1,0.02707865818890348,SII,200,0.05,approximation,ksh,not-paired,not full
2,1,0.004269188446023153,SII,200,0.05,approximation,ksh,not-paired,full
2,1,0.02388630891016474,SII,200,0.05,approximation,faith,not-paired,not full
2,1,0.004269188446023153,SII,200,0.05,approximation,faith,not-paired,full
2,1,0.0367304407294964,SII,300,0.07,permutation,,,
2,1,0.055315039603338736,SII,300,0.07,approximation,unif-size,not-paired,not full
2,1,0.004269188446023153,SII,300,0.07,approximation,unif-size,not-paired,full
2,1,0.01646581001835378,SII,300,0.07,approximation,unif-set,not-paired,not full
2,1,0.004269188446023153,SII,300,0.07,approximation,unif-set,not-paired,full
2,1,0.015547190605994191,SII,300,0.07,approximation,ksh,not-paired,not full
2,1,0.002079706245091437,SII,300,0.07,approximation,ksh,not-paired,full
2,1,0.012704431803447392,SII,300,0.07,approximation,faith,not-paired,not full
2,1,0.004269188446023153,SII,300,0.07,approximation,faith,not-paired,full
2,1,0.01486557763095316,SII,400,0.1,permutation,,,
2,1,0.03450951153277729,SII,400,0.1,approximation,unif-size,not-paired,not full
2,1,0.004269188446023153,SII,400,0.1,approximation,unif-size,not-paired,full
2,1,0.014697956453025986,SII,400,0.1,approximation,unif-set,not-paired,not full
2,1,0.004269188446023153,SII,400,0.1,approximation,unif-set,not-paired,full
2,1,0.006466544829611305,SII,400,0.1,approximation,ksh,not-paired,not full
2,1,0.002079706245091437,SII,400,0.1,approximation,ksh,not-paired,full
2,1,0.009086986850070592,SII,400,0.1,approximation,faith,not-paired,not full
2,1,0.004269188446023153,SII,400,0.1,approximation,faith,not-paired,full
2,1,0.011593170129589967,SII,500,0.12,permutation,,,
2,1,0.04413044690729557,SII,500,0.12,approximation,unif-size,not-paired,not full
2,1,0.004269188446023153,SII,500,0.12,approximation,unif-size,not-paired,full
2,1,0.007762314834748207,SII,500,0.12,approximation,unif-set,not-paired,not full
2,1,0.004269188446023153,SII,500,0.12,approximation,unif-set,not-paired,full
2,1,0.004041496516724085,SII,500,0.12,approximation,ksh,not-paired,not full
2,1,0.002079706245091437,SII,500,0.12,approximation,ksh,not-paired,full
2,1,0.0032180876616904643,SII,500,0.12,approximation,faith,not-paired,not full
2,1,0.002079706245091437,SII,500,0.12,approximation,faith,not-paired,full
2,1,0.015994570712255067,SII,600,0.15,permutation,,,
2,1,0.03048294618916917,SII,600,0.15,approximation,unif-size,not-paired,not full
2,1,0.004269188446023153,SII,600,0.15,approximation,unif-size,not-paired,full
2,1,0.008978858733330873,SII,600,0.15,approximation,unif-set,not-paired,not full
2,1,0.004269188446023153,SII,600,0.15,approximation,unif-set,not-paired,full
2,1,0.003016831687070502,SII,600,0.15,approximation,ksh,not-paired,not full
2,1,0.002079706245091437,SII,600,0.15,approximation,ksh,not-paired,full
2,1,0.004462642818190692,SII,600,0.15,approximation,faith,not-paired,not full
2,1,0.002079706245091437,SII,600,0.15,approximation,faith,not-paired,full
