shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.04220178737001045,SII,409,0.1,permutation,,,
2,1,0.02860241583251283,SII,409,0.1,approximation,unif-size,not-paired,not full
2,1,0.007888376463951635,SII,409,0.1,approximation,unif-size,not-paired,full
2,1,0.008132208455748632,SII,409,0.1,approximation,unif-set,not-paired,not full
2,1,0.007888376463951635,SII,409,0.1,approximation,unif-set,not-paired,full
2,1,0.009291769071794924,SII,409,0.1,approximation,ksh,not-paired,not full
2,1,0.007888376463951635,SII,409,0.1,approximation,ksh,not-paired,full
2,1,0.007554789312760568,SII,409,0.1,approximation,faith,not-paired,not full
2,1,0.007888376463951635,SII,409,0.1,approximation,faith,not-paired,full
2,1,0.0446731527698331,SII,614,0.15,permutation,,,
2,1,0.012967068285518513,SII,614,0.15,approximation,unif-size,not-paired,not full
2,1,0.007888376463951635,SII,614,0.15,approximation,unif-size,not-paired,full
2,1,0.0054061984900308285,SII,614,0.15,approximation,unif-set,not-paired,not full
2,1,0.007888376463951635,SII,614,0.15,approximation,unif-set,not-paired,full
2,1,0.007823913167582585,SII,614,0.15,approximation,ksh,not-paired,not full
2,1,0.007888376463951635,SII,614,0.15,approximation,ksh,not-paired,full
2,1,0.005827192240933967,SII,614,0.15,approximation,faith,not-paired,not full
2,1,0.007888376463951635,SII,614,0.15,approximation,faith,not-paired,full
2,1,0.02247633791512802,SII,819,0.2,permutation,,,
2,1,0.013220346674864958,SII,819,0.2,approximation,unif-size,not-paired,not full
2,1,0.007888376463951635,SII,819,0.2,approximation,unif-size,not-paired,full
2,1,0.004403598547933871,SII,819,0.2,approximation,unif-set,not-paired,not full
2,1,0.007888376463951635,SII,819,0.2,approximation,unif-set,not-paired,full
2,1,0.004944061556156848,SII,819,0.2,approximation,ksh,not-paired,not full
2,1,0.007888376463951635,SII,819,0.2,approximation,ksh,not-paired,full
2,1,0.003205293919848643,SII,819,0.2,approximation,faith,not-paired,not full
2,1,0.007888376463951635,SII,819,0.2,approximation,faith,not-paired,full
2,1,0.02168409273191155,SII,1024,0.25,permutation,,,
2,1,0.014868129762211147,SII,1024,0.25,approximation,unif-size,not-paired,not full
2,1,0.007888376463951635,SII,1024,0.25,approximation,unif-size,not-paired,full
2,1,0.0036646121247276026,SII,1024,0.25,approximation,unif-set,not-paired,not full
2,1,0.007888376463951635,SII,1024,0.25,approximation,unif-set,not-paired,full
2,1,0.003682502390778898,SII,1024,0.25,approximation,ksh,not-paired,not full
2,1,0.007888376463951635,SII,1024,0.25,approximation,ksh,not-paired,full
2,1,0.0024368613733809375,SII,1024,0.25,approximation,faith,not-paired,not full
2,1,0.007888376463951635,SII,1024,0.25,approximation,faith,not-paired,full
2,1,0.015443082457988307,SII,1228,0.3,permutation,,,
2,1,0.009957469954284663,SII,1228,0.3,approximation,unif-size,not-paired,not full
2,1,0.007888376463951635,SII,1228,0.3,approximation,unif-size,not-paired,full
2,1,0.002953942175615033,SII,1228,0.3,approximation,unif-set,not-paired,not full
2,1,0.007888376463951635,SII,1228,0.3,approximation,unif-set,not-paired,full
2,1,0.003430099557537404,SII,1228,0.3,approximation,ksh,not-paired,not full
2,1,0.007888376463951635,SII,1228,0.3,approximation,ksh,not-paired,full
2,1,0.0022932599581304636,SII,1228,0.3,approximation,faith,not-paired,not full
2,1,0.007888376463951635,SII,1228,0.3,approximation,faith,not-paired,full
2,1,0.017568221258357105,SII,1433,0.35,permutation,,,
2,1,0.00712446631270602,SII,1433,0.35,approximation,unif-size,not-paired,not full
2,1,0.007888376463951635,SII,1433,0.35,approximation,unif-size,not-paired,full
2,1,0.0029425788033428544,SII,1433,0.35,approximation,unif-set,not-paired,not full
2,1,0.007888376463951635,SII,1433,0.35,approximation,unif-set,not-paired,full
2,1,0.0031038001563741687,SII,1433,0.35,approximation,ksh,not-paired,not full
2,1,0.007888376463951635,SII,1433,0.35,approximation,ksh,not-paired,full
2,1,0.002402063325325475,SII,1433,0.35,approximation,faith,not-paired,not full
2,1,0.007888376463951635,SII,1433,0.35,approximation,faith,not-paired,full
2,1,0.009945833280123542,SII,1638,0.4,permutation,,,
2,1,0.009698802596173464,SII,1638,0.4,approximation,unif-size,not-paired,not full
2,1,0.007888376463951635,SII,1638,0.4,approximation,unif-size,not-paired,full
2,1,0.001923045162719055,SII,1638,0.4,approximation,unif-set,not-paired,not full
2,1,0.007888376463951635,SII,1638,0.4,approximation,unif-set,not-paired,full
2,1,0.0019114174254822452,SII,1638,0.4,approximation,ksh,not-paired,not full
2,1,0.007888376463951635,SII,1638,0.4,approximation,ksh,not-paired,full
2,1,0.0029217765633983823,SII,1638,0.4,approximation,faith,not-paired,not full
2,1,0.007888376463951635,SII,1638,0.4,approximation,faith,not-paired,full
2,1,0.009981118502517344,SII,1843,0.45,permutation,,,
2,1,0.0074842917415227014,SII,1843,0.45,approximation,unif-size,not-paired,not full
2,1,0.007888376463951635,SII,1843,0.45,approximation,unif-size,not-paired,full
2,1,0.0018837674492089022,SII,1843,0.45,approximation,unif-set,not-paired,not full
2,1,0.007888376463951635,SII,1843,0.45,approximation,unif-set,not-paired,full
2,1,0.0019729966859494508,SII,1843,0.45,approximation,ksh,not-paired,not full
2,1,0.007888376463951635,SII,1843,0.45,approximation,ksh,not-paired,full
2,1,0.0016798949330236528,SII,1843,0.45,approximation,faith,not-paired,not full
2,1,0.007888376463951635,SII,1843,0.45,approximation,faith,not-paired,full
2,1,0.012317652515021987,SII,2048,0.5,permutation,,,
2,1,0.0064277417704101695,SII,2048,0.5,approximation,unif-size,not-paired,not full
2,1,0.007888376463951635,SII,2048,0.5,approximation,unif-size,not-paired,full
2,1,0.0019464497690794835,SII,2048,0.5,approximation,unif-set,not-paired,not full
2,1,0.007888376463951635,SII,2048,0.5,approximation,unif-set,not-paired,full
2,1,0.0016373377787881548,SII,2048,0.5,approximation,ksh,not-paired,not full
2,1,0.007888376463951635,SII,2048,0.5,approximation,ksh,not-paired,full
2,1,0.001606569039009562,SII,2048,0.5,approximation,faith,not-paired,not full
2,1,0.007888376463951635,SII,2048,0.5,approximation,faith,not-paired,full
2,1,0.008250430369701382,SII,2252,0.55,permutation,,,
2,1,0.00751204172743991,SII,2252,0.55,approximation,unif-size,not-paired,not full
2,1,0.007888376463951635,SII,2252,0.55,approximation,unif-size,not-paired,full
2,1,0.001722008173893462,SII,2252,0.55,approximation,unif-set,not-paired,not full
2,1,0.007888376463951635,SII,2252,0.55,approximation,unif-set,not-paired,full
2,1,0.0013985382437272144,SII,2252,0.55,approximation,ksh,not-paired,not full
2,1,0.007888376463951635,SII,2252,0.55,approximation,ksh,not-paired,full
2,1,0.001252172286048386,SII,2252,0.55,approximation,faith,not-paired,not full
2,1,0.007888376463951635,SII,2252,0.55,approximation,faith,not-paired,full
2,1,0.008311967726286206,SII,2457,0.6,permutation,,,
2,1,0.004783626219865234,SII,2457,0.6,approximation,unif-size,not-paired,not full
