shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.006237109447999727,SII,200,0.05,permutation,,,
2,1,0.1287926075539087,SII,200,0.05,approximation,unif-size,not-paired,not full
2,1,0.0001646049524745415,SII,200,0.05,approximation,unif-size,not-paired,full
2,1,0.03818938874845109,SII,200,0.05,approximation,unif-set,not-paired,not full
2,1,0.0001646049524745415,SII,200,0.05,approximation,unif-set,not-paired,full
2,1,0.021819959142348622,SII,200,0.05,approximation,ksh,not-paired,not full
2,1,0.0001646049524745415,SII,200,0.05,approximation,ksh,not-paired,full
2,1,0.02847341706941273,SII,200,0.05,approximation,faith,not-paired,not full
2,1,0.0001646049524745415,SII,200,0.05,approximation,faith,not-paired,full
2,1,0.009422510765754899,SII,300,0.07,permutation,,,
2,1,0.02997269385760803,SII,300,0.07,approximation,unif-size,not-paired,not full
2,1,0.0001646049524745415,SII,300,0.07,approximation,unif-size,not-paired,full
2,1,0.014121121493834725,SII,300,0.07,approximation,unif-set,not-paired,not full
2,1,0.0001646049524745415,SII,300,0.07,approximation,unif-set,not-paired,full
2,1,0.014001409112431131,SII,300,0.07,approximation,ksh,not-paired,not full
2,1,1.507798009382779e-05,SII,300,0.07,approximation,ksh,not-paired,full
2,1,0.016454142387640047,SII,300,0.07,approximation,faith,not-paired,not full
2,1,0.0001646049524745415,SII,300,0.07,approximation,faith,not-paired,full
2,1,0.004306878154923781,SII,400,0.1,permutation,,,
2,1,0.05206369744611319,SII,400,0.1,approximation,unif-size,not-paired,not full
2,1,0.0001646049524745415,SII,400,0.1,approximation,unif-size,not-paired,full
2,1,0.011756382171580893,SII,400,0.1,approximation,unif-set,not-paired,not full
2,1,0.0001646049524745415,SII,400,0.1,approximation,unif-set,not-paired,full
2,1,0.007352963744701575,SII,400,0.1,approximation,ksh,not-paired,not full
2,1,1.507798009382779e-05,SII,400,0.1,approximation,ksh,not-paired,full
2,1,0.01075301012534461,SII,400,0.1,approximation,faith,not-paired,not full
2,1,0.0001646049524745415,SII,400,0.1,approximation,faith,not-paired,full
2,1,0.020443520613337565,SII,500,0.12,permutation,,,
2,1,0.06498755196961972,SII,500,0.12,approximation,unif-size,not-paired,not full
2,1,0.0001646049524745415,SII,500,0.12,approximation,unif-size,not-paired,full
2,1,0.007567633849661513,SII,500,0.12,approximation,unif-set,not-paired,not full
2,1,0.0001646049524745415,SII,500,0.12,approximation,unif-set,not-paired,full
2,1,0.005765480357673759,SII,500,0.12,approximation,ksh,not-paired,not full
2,1,1.507798009382779e-05,SII,500,0.12,approximation,ksh,not-paired,full
2,1,0.003644401947961259,SII,500,0.12,approximation,faith,not-paired,not full
2,1,1.507798009382779e-05,SII,500,0.12,approximation,faith,not-paired,full
2,1,0.006291653652578156,SII,600,0.15,permutation,,,
