shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.02630882589761504,SII,200,0.05,permutation,,,
2,1,0.07582815141356378,SII,200,0.05,approximation,unif-size,not-paired,not full
2,1,0.001245776951453431,SII,200,0.05,approximation,unif-size,not-paired,full
2,1,0.015511718479456245,SII,200,0.05,approximation,unif-set,not-paired,not full
2,1,0.001245776951453431,SII,200,0.05,approximation,unif-set,not-paired,full
2,1,0.026069297825634004,SII,200,0.05,approximation,ksh,not-paired,not full
2,1,0.001245776951453431,SII,200,0.05,approximation,ksh,not-paired,full
2,1,0.018172703934026462,SII,200,0.05,approximation,faith,not-paired,not full
2,1,0.001245776951453431,SII,200,0.05,approximation,faith,not-paired,full
2,1,0.007717118522694903,SII,300,0.07,permutation,,,
2,1,0.09023124117792292,SII,300,0.07,approximation,unif-size,not-paired,not full
2,1,0.001245776951453431,SII,300,0.07,approximation,unif-size,not-paired,full
2,1,0.009180305027827787,SII,300,0.07,approximation,unif-set,not-paired,not full
2,1,0.001245776951453431,SII,300,0.07,approximation,unif-set,not-paired,full
2,1,0.00930604543954001,SII,300,0.07,approximation,ksh,not-paired,not full
2,1,0.00040741554486623845,SII,300,0.07,approximation,ksh,not-paired,full
2,1,0.008461984269319796,SII,300,0.07,approximation,faith,not-paired,not full
2,1,0.001245776951453431,SII,300,0.07,approximation,faith,not-paired,full
2,1,0.01747657808866557,SII,400,0.1,permutation,,,
2,1,0.04213859444348328,SII,400,0.1,approximation,unif-size,not-paired,not full
2,1,0.001245776951453431,SII,400,0.1,approximation,unif-size,not-paired,full
2,1,0.008151479541620238,SII,400,0.1,approximation,unif-set,not-paired,not full
2,1,0.001245776951453431,SII,400,0.1,approximation,unif-set,not-paired,full
2,1,0.003706775798613135,SII,400,0.1,approximation,ksh,not-paired,not full
2,1,0.00040741554486623845,SII,400,0.1,approximation,ksh,not-paired,full
2,1,0.0059323557653351,SII,400,0.1,approximation,faith,not-paired,not full
2,1,0.001245776951453431,SII,400,0.1,approximation,faith,not-paired,full
2,1,0.00786494183686009,SII,500,0.12,permutation,,,
2,1,0.014262127879822764,SII,500,0.12,approximation,unif-size,not-paired,not full
